bike_id,vehicle_type_id,lat,lon,is_reserved,is_disabled,current_range_m,last_reported,current_zone_id
GLW_B0001,ebike_v2,55.876022,-4.23683,False,False,10660,2026-05-23T07:39:01.531799Z,GLW_Z048
GLW_B0002,standard_v1,55.875028,-4.264056,False,False,,2026-05-23T07:39:01.531841Z,GLW_Z011
GLW_B0003,standard_v1,55.856689,-4.303126,False,False,,2026-05-23T07:39:01.531853Z,GLW_Z045
GLW_B0004,standard_v1,55.856842,-4.303069,False,False,,2026-05-23T07:39:01.531861Z,GLW_Z045
GLW_B0005,cargo_v1,55.888601,-4.226739,False,False,,2026-05-23T07:39:01.531869Z,GLW_Z051
GLW_B0006,standard_v1,55.849263,-4.26488,False,False,,2026-05-23T07:39:01.531877Z,GLW_Z035
GLW_B0007,ebike_v2,55.86491,-4.274828,False,False,17457,2026-05-23T07:39:01.531886Z,GLW_Z004
GLW_B0008,ebike_v2,55.871721,-4.232712,False,False,24399,2026-05-23T07:39:01.531895Z,GLW_Z029
GLW_B0009,standard_v1,55.849218,-4.264943,False,False,,2026-05-23T07:39:01.531932Z,GLW_Z035
GLW_B0010,standard_v1,55.859894,-4.288359,False,False,,2026-05-23T07:39:01.531943Z,GLW_Z021
GLW_B0011,cargo_v1,55.855625,-4.304257,False,False,,2026-05-23T07:39:01.531951Z,GLW_Z056
GLW_B0012,standard_v1,55.84161,-4.265329,False,False,,2026-05-23T07:39:01.531958Z,GLW_Z018
GLW_B0013,ebike_v2,55.871491,-4.233111,False,False,24112,2026-05-23T07:39:01.531967Z,GLW_Z029
GLW_B0014,standard_v1,55.873571,-4.237807,False,False,,2026-05-23T07:39:01.531974Z,GLW_Z006
GLW_B0015,standard_v1,55.874889,-4.264034,False,False,,2026-05-23T07:39:01.531981Z,GLW_Z011
GLW_B0016,standard_v1,55.870935,-4.255789,False,False,,2026-05-23T07:39:01.532009Z,GLW_Z053
GLW_B0017,standard_v1,55.861515,-4.25183,False,False,,2026-05-23T07:39:01.532023Z,GLW_Z008
GLW_B0018,standard_v1,55.873345,-4.251469,False,False,,2026-05-23T07:39:01.532033Z,GLW_Z043
GLW_B0019,ebike_v2,55.828075,-4.301923,False,False,25996,2026-05-23T07:39:01.532043Z,GLW_Z040
GLW_B0020,ebike_v2,55.862259,-4.272282,False,False,28644,2026-05-23T07:39:01.532051Z,GLW_Z009
GLW_B0021,standard_v1,55.8634,-4.271701,False,True,,2026-05-23T07:39:01.532086Z,GLW_Z039
GLW_B0022,cargo_v1,55.855571,-4.260854,False,False,,2026-05-23T07:39:01.532098Z,GLW_Z027
GLW_B0023,cargo_v1,55.861241,-4.251857,False,False,,2026-05-23T07:39:01.532131Z,GLW_Z008
GLW_B0024,cargo_v1,55.864677,-4.328834,False,False,,2026-05-23T07:39:01.532143Z,GLW_Z046
GLW_B0025,ebike_v2,55.869477,-4.308683,False,False,12473,2026-05-23T07:39:01.532151Z,GLW_Z036
GLW_B0026,ebike_v2,55.856573,-4.303791,False,False,33811,2026-05-23T07:39:01.532159Z,GLW_Z056
GLW_B0027,ebike_v2,55.881019,-4.235466,False,False,27002,2026-05-23T07:39:01.532167Z,GLW_Z033
GLW_B0028,standard_v1,55.87302,-4.251224,False,False,,2026-05-23T07:39:01.532202Z,GLW_Z043
GLW_B0029,cargo_v1,55.869415,-4.309062,False,False,,2026-05-23T07:39:01.532213Z,GLW_Z036
GLW_B0030,ebike_v2,55.856832,-4.302837,False,False,18426,2026-05-23T07:39:01.532223Z,GLW_Z045
GLW_B0031,standard_v1,55.874967,-4.237032,False,False,,2026-05-23T07:39:01.532235Z,GLW_Z048
GLW_B0032,standard_v1,55.889073,-4.226961,False,True,,2026-05-23T07:39:01.532246Z,GLW_Z051
GLW_B0033,standard_v1,55.881174,-4.235501,False,False,,2026-05-23T07:39:01.532256Z,GLW_Z033
GLW_B0034,ebike_v2,55.864211,-4.226637,False,False,29455,2026-05-23T07:39:01.532268Z,GLW_Z007
GLW_B0035,standard_v1,55.854878,-4.245475,False,False,,2026-05-23T07:39:01.532310Z,GLW_Z010
GLW_B0036,ebike_v2,55.867077,-4.300962,False,False,20452,2026-05-23T07:39:01.532324Z,GLW_Z026
GLW_B0037,standard_v1,55.85971,-4.288548,False,False,,2026-05-23T07:39:01.532333Z,GLW_Z021
GLW_B0038,cargo_v1,55.82846,-4.301299,False,False,,2026-05-23T07:39:01.532341Z,GLW_Z040
GLW_B0039,ebike_v2,55.876164,-4.236774,False,False,11293,2026-05-23T07:39:01.532349Z,GLW_Z048
GLW_B0040,standard_v1,55.871486,-4.232868,False,False,,2026-05-23T07:39:01.532355Z,GLW_Z029
GLW_B0041,standard_v1,55.864728,-4.27476,False,False,,2026-05-23T07:39:01.532362Z,GLW_Z004
GLW_B0042,standard_v1,55.86545,-4.284595,False,False,,2026-05-23T07:39:01.532369Z,GLW_Z037
GLW_B0043,cargo_v1,55.872293,-4.26005,False,False,,2026-05-23T07:39:01.532375Z,GLW_Z025
GLW_B0044,ebike_v2,55.869792,-4.294605,False,False,23245,2026-05-23T07:39:01.532383Z,GLW_Z030
GLW_B0045,standard_v1,55.877425,-4.282394,False,False,,2026-05-23T07:39:01.532389Z,GLW_Z058
GLW_B0046,ebike_v2,55.884387,-4.229233,False,False,17899,2026-05-23T07:39:01.532397Z,GLW_Z038
GLW_B0047,standard_v1,55.861525,-4.272127,False,False,,2026-05-23T07:39:01.532403Z,GLW_Z013
GLW_B0048,standard_v1,55.860071,-4.264166,False,False,,2026-05-23T07:39:01.532440Z,GLW_Z023
GLW_B0049,ebike_v2,55.873119,-4.251228,False,False,9607,2026-05-23T07:39:01.532452Z,GLW_Z043
GLW_B0050,cargo_v1,55.835877,-4.230932,False,False,,2026-05-23T07:39:01.532461Z,GLW_Z059
