event_id,city_id,event_date,start_time,end_time,venue_lat,venue_lon,expected_attendance,category
GLW_E0000,GLW,2026-04-11,2026-04-11T20:00:00Z,2026-04-11T22:00:00Z,55.8499,-4.2527,20202,market
GLW_E0001,GLW,2026-04-12,2026-04-12T20:00:00Z,2026-04-12T23:00:00Z,55.8477,-4.3123,28809,festival
GLW_E0002,GLW,2026-04-13,2026-04-13T17:00:00Z,2026-04-13T21:00:00Z,55.8576,-4.2485,22954,conference
GLW_E0003,GLW,2026-04-17,2026-04-17T19:00:00Z,2026-04-17T23:00:00Z,55.8617,-4.2583,22025,concert
GLW_E0004,GLW,2026-04-18,2026-04-18T12:00:00Z,2026-04-18T16:00:00Z,55.8499,-4.2527,31729,market
GLW_E0005,GLW,2026-04-19,2026-04-19T19:00:00Z,2026-04-19T23:00:00Z,55.8477,-4.3123,46145,market
GLW_E0006,GLW,2026-04-25,2026-04-25T19:00:00Z,2026-04-25T23:00:00Z,55.8477,-4.3123,8588,festival
GLW_E0007,GLW,2026-04-26,2026-04-26T17:00:00Z,2026-04-26T20:00:00Z,55.8724,-4.2908,12112,festival
GLW_E0008,GLW,2026-04-30,2026-04-30T19:00:00Z,2026-04-30T21:00:00Z,55.8617,-4.2583,15017,conference
GLW_E0009,GLW,2026-05-05,2026-05-05T14:00:00Z,2026-05-05T16:00:00Z,55.8576,-4.2485,32862,market
GLW_E0010,GLW,2026-05-07,2026-05-07T20:00:00Z,2026-05-07T22:00:00Z,55.8724,-4.2908,967,conference
GLW_E0011,GLW,2026-05-08,2026-05-08T17:00:00Z,2026-05-08T21:00:00Z,55.8724,-4.2908,33289,football
GLW_E0012,GLW,2026-05-15,2026-05-15T14:00:00Z,2026-05-15T17:00:00Z,55.8499,-4.2527,37849,market
GLW_E0013,GLW,2026-05-19,2026-05-19T20:00:00Z,2026-05-20T00:00:00Z,55.8477,-4.3123,17075,conference
GLW_E0014,GLW,2026-05-22,2026-05-22T12:00:00Z,2026-05-22T15:00:00Z,55.8724,-4.2908,28847,market
GLW_E0015,GLW,2026-05-25,2026-05-25T17:00:00Z,2026-05-25T21:00:00Z,55.8576,-4.2485,3348,concert
GLW_E0016,GLW,2026-05-27,2026-05-27T20:00:00Z,2026-05-27T23:00:00Z,55.8617,-4.2583,21225,conference
GLW_E0017,GLW,2026-05-28,2026-05-28T20:00:00Z,2026-05-28T22:00:00Z,55.8499,-4.2527,48829,concert
GLW_E0018,GLW,2026-05-29,2026-05-29T14:00:00Z,2026-05-29T16:00:00Z,55.8724,-4.2908,11279,conference
GLW_E0019,GLW,2026-05-30,2026-05-30T12:00:00Z,2026-05-30T14:00:00Z,55.8477,-4.3123,31955,market
GLW_E0020,GLW,2026-06-01,2026-06-01T14:00:00Z,2026-06-01T16:00:00Z,55.8617,-4.2583,31536,festival
GLW_E0021,GLW,2026-06-02,2026-06-02T17:00:00Z,2026-06-02T21:00:00Z,55.8617,-4.2583,16015,festival
