ride_id,bike_id,rider_hash,start_zone_id,end_zone_id,start_lat,start_lon,end_lat,end_lon,start_time,end_time,duration_secs,distance_m,cost_pence,was_redirected,redirect_reason,minutes_wasted
GLW_R000000,GLW_B0317,c89353c1bf6ceeca,GLW_Z012,GLW_Z004,55.860331,-4.238525,55.863963,-4.274854,2026-05-11T17:31:00Z,2026-05-11T17:38:13Z,433,2372,204,True,geofence_violation,6.4
GLW_R000001,GLW_B0251,34b9053ae948d527,GLW_Z050,GLW_Z026,55.862796,-4.263762,55.867188,-4.301017,2026-04-27T16:17:00Z,2026-04-27T16:25:28Z,508,2372,127,False,,0.0
GLW_R000002,GLW_B0006,fe0e288abab56641,GLW_Z009,GLW_Z045,55.862219,-4.271357,55.856845,-4.302162,2026-05-22T13:06:00Z,2026-05-22T13:12:31Z,391,2011,97,False,,0.0
GLW_R000003,GLW_B0253,dfb5ed0c40b1609e,GLW_Z015,GLW_Z012,55.862245,-4.250444,55.860966,-4.237179,2026-05-18T10:36:00Z,2026-05-18T10:38:23Z,143,848,35,False,,0.0
GLW_R000004,GLW_B0340,1bbd6b2ae850a618,GLW_Z018,GLW_Z014,55.841277,-4.264738,55.85828,-4.255376,2026-05-21T13:01:00Z,2026-05-21T13:07:17Z,377,1890,173,True,no_bikes_nearby,5.3
GLW_R000005,GLW_B0025,8a580ced0442a6a8,GLW_Z025,GLW_Z054,55.873364,-4.260352,55.864414,-4.239144,2026-05-07T22:30:00Z,2026-05-07T22:38:09Z,489,1575,122,False,,0.0
GLW_R000006,GLW_B0061,49830da36d9ca09f,GLW_Z059,GLW_Z030,55.836058,-4.230441,55.870019,-4.294927,2026-04-20T13:39:00Z,2026-04-20T14:03:23Z,1463,5470,406,True,no_bikes_nearby,2.7
GLW_R000007,GLW_B0234,325c3086392f662d,GLW_Z031,GLW_Z040,55.848605,-4.231994,55.827207,-4.30158,2026-04-19T17:46:00Z,2026-04-19T18:08:02Z,1322,4927,330,False,,0.0
GLW_R000008,GLW_B0231,24c91ae9424bcc35,GLW_Z044,GLW_Z028,55.88333,-4.25026,55.872911,-4.254501,2026-05-02T13:23:00Z,2026-05-02T13:28:15Z,315,1111,78,False,,0.0
GLW_R000009,GLW_B0394,1f5b65dc90e7c0ac,GLW_Z030,GLW_Z056,55.869409,-4.293216,55.855572,-4.303941,2026-05-03T15:48:00Z,2026-05-03T15:54:12Z,372,1642,93,False,,0.0
GLW_R000010,GLW_B0381,e81f6665bf086073,GLW_Z038,GLW_Z049,55.884401,-4.228982,55.865808,-4.260712,2026-04-14T17:37:00Z,2026-04-14T17:46:23Z,563,2786,140,False,,0.0
GLW_R000011,GLW_B0110,78f10d29990dd243,GLW_Z021,GLW_Z011,55.859657,-4.288386,55.875359,-4.264344,2026-05-10T17:34:00Z,2026-05-10T17:45:32Z,692,2254,173,False,,0.0
GLW_R000012,GLW_B0240,5cc1be14dbdbbba0,GLW_Z012,GLW_Z002,55.861539,-4.238025,55.859649,-4.260883,2026-04-24T18:00:00Z,2026-04-24T18:08:03Z,483,1467,236,True,geofence_violation,7.7
GLW_R000013,GLW_B0271,633b2cf8446fb01e,GLW_Z028,GLW_Z052,55.873614,-4.25457,55.862896,-4.271042,2026-05-05T18:05:00Z,2026-05-05T18:10:08Z,308,1539,77,False,,0.0
GLW_R000014,GLW_B0046,e804f3779f38061e,GLW_Z041,GLW_Z013,55.858031,-4.206282,55.860877,-4.272399,2026-05-20T08:51:00Z,2026-05-20T09:07:31Z,991,4115,247,False,,0.0
